,job_title,company,location,salary,summary,url,easily_apply?
0,Program Manager,The Gill Corporation,Los Angeles,"$105,000 - $150,000 a year","Possess strong working knowledge of contracts, engineering design standards, FAA certification, quality systems for manufacturing and program management.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/pagead/clk?mo=r&ad=-6NYlbfkN0DQuE_aJ3K-kmdFrrEiCjyHShWhb6o8CcunWmdX86hrxm733G8kcVEdJJ54LG7hbVpEhQbOHFfCjgj6gAl87ZxokGmL8HEq2IXtTUstzN1oxAbym24Bewqb89XHt2Q9kynpXh897mx7fWuKTra-m8UT0uUrJ5V_y4s1zqFnBhXRB52-tRnYZopDUtRjL28TLanc5BRx92K4hx6bIupiXmXJ4H0d8eWulHPRh5hkjId81oK65NySt5IWUZJM8nfeaGKws1WIZT_PUQOr9KKn2Q3qgCLZBjXGd5LSrC1CxgfkxmEwzHWxjpOEVEFWE2efBMJajvo4eoVZZe4p7eJljcgktrowf3GvoJZEBmFYdsXUfbaJASOXEt2ACUN0pU2qfvsbwZxE5xtCO6T0np-9uDQTY9QMEoLhrOt0RxPDzHLtDDMppMuS_DcVuCITxViYx7kQW9zfblrkHAJPV1F7G17l&p=0&fvj=1&vjs=3",True
123,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
98,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5ou5o4koG7ipHvOP6KEUJW3PaDpcIJIEzUQ4-LxD_8InVuvtMu2Pj4bJ30TA7XinxhS1FpI52HYCRd5W0EzvvBehVQpWO45FaVCXm7hHcOiD7PtMrMq9_yHpxj0_dl3GbTIpovlBrbK95xPHnlU-RAhSKfDNoMzVxT17i0hOokV7duynrmj-QErwL9mdouUb6Y2-y8RI5OQyv5qA6O5MVezMfYwBvY4nGA04vGB5JE8MTpCZfIksAXxcpkB5Pbk5s4MpMrpxXET7Mr0S_7zBX0Wu8YqRGoFwOrbJnmbVQN87xU5KGNn-udVA3CkK5cS73&p=0&fvj=1&vjs=3",True
99,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
101,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
103,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
104,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
108,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
109,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
111,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
112,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5JzKUOFqEb7qBxMW005W4f3hAIuouH6Bs8NTPqHQVh4ZEUPOVoJm8KQ9PlvYmvGHYaik1gTlCfMWjn8oZJ3OBydXyVAtKQiAcLJiSsKQBIXnvFYIYrNbs9e4aumtEww3W6vOwW5ZDO_WyHC96Qs1luLjIxTKCMm3gfGJdZvGkMRAV9HuodRxcXQhNkuKTIJCV0ldJMuklEfMPcTEqcjM-oGYvP3IPmZZ_oCOZ-JaHLDabNRl1EJmBq6Tpw-0ZcXAMf_5Nsr7Y24uMqk7qVg6QfOXONescDiAZIb8M4QdO8wClTnBRhq-NPZF8bF2jRiWx&p=0&fvj=1&vjs=3",True
113,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
115,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
117,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
118,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
122,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
125,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
28,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
126,Manager Clinical Operations - Telemetry,Advocate Aurora Health,Los Angeles,N/A,"Responsibilities include 24 hour accountability for the day to day operations of the clinical telemetry unit.
5 years of clinical experience.","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/company/Advocate-Aurora-Health/jobs/Manager-Clinical-Operation-a1672b10aa7d1876?fccid=e676e89a7895f46c&vjs=3",True
127,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5rCRkE7yeGwec_ulLo4bYGJG0g59C18PVKFhTu5yRHXoQKdLK8emt0LF-UP32udWpvLco7_qZIhhYciEVVqJ_SDmys9Hw2GmotZX6e9REhGzyJDVeFnkeU9GYbx3KcjhAwG5CKtbV4y7Pocu9dBYY5agKM80sQKKA4DZ7KXGHsJ8DgOp_LKLVlx12mO7LnljyAafbGMgL11l6mhy81yxf-Ev1u5Te6567wUMKicz9KCpQ9qT09LoATC7voDLQYImGQuca-PBhXjcqvf85Ha9Xsc5thBWqWZA_gD6Nm1S4V9-ijxLgo6kUAQrLWEAJM7dl&p=1&fvj=1&vjs=3",True
128,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
130,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
131,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
132,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
136,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
137,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
139,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
1,Public Health Program Manager 3- K-12 School Reopening,"Healthcare Staffing Professionals, Inc.",Los Angeles,$59.27 an hour,Directs division or program administrative functions and internal support services and directs and participates in developing and implementing solutions to…,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/pagead/clk?mo=r&ad=-6NYlbfkN0CBC3QPWf62_ZujIdn61V3p_wwz_uNSPeOtTLODVN0YE5aAuIDiW3OI1bbQzLrL3PCoscxnlh2HY17FDkuPGmEkq4GKhjS9ft2NCtJOL5HAN85FKS_Gd4tprImOgJCr7xCqb2Q7dPaX9oAtJr2L_JLc8-rJdxEPaj_HsDcF6to51fyijUsTsNd53PTZ6atTpL4aunvBB8ODH6ozXGuffC954UnDU3qzUWze-x6Mnfi0qdOpE60_jYV5GJlDobwWrDfC7zbi2fyckNDU2TIrEE4AFMQ0E49T2m5j5UolT_P9fILk2mfhbTkKKRIyo1sWwlYI0X9cTncIsHnDjoWXxgQt1G12kmS6P8AzP1i3oxZVbB2uB-CPga7-_seNQCb2B2Xt4WfbrCIRpDR23Elv8nBfv_pEEHKZ4NiBPS1VVgWmkRBec-vx9uuXd5loFdS7qHfJSJE_GccVhkrtG5mhGK_9IjKwNuHbKmm-bWme9hq1Wvf3JFMZGrryZr168M2a46kWkY7UDwyYSA==&p=1&fvj=1&vjs=3",True
3,Crowdfunding Account Manager,Oliveda International Inc.,Los Angeles,"Up to $150,000 a year","Plan and execute social media strategy and manage influencer relations for each crowdfunding campaign.
Incorporate market research into crowdfunding marketing…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/company/Olive-Tree-People-Inc./jobs/Crowdfunding-Account-Manager-a795b69ff2d242c9?fccid=6365a026d8d9317d&vjs=3",True
13,"Manager, Corporate Strategy",Crown Media United States Llc,Los Angeles,N/A,"Prior experience building financial models and strategy-driven presentations.
Collaborate with the Corporate Strategy team and business units across the company…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=459f92c55424b997&fccid=e7531ebcbebac712&vjs=3",True
15,Sales Manager,"Envision Motor Group, Norwalk Toyota",Los Angeles,"$10,000 - $20,000 a month","Proven knowledge of effective sales strategies and best practices.
Recruit, hire, train, and oversee a team of automotive salespeople.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/company/Envision-Motor-Group,-Norwalk-Toyota/jobs/Sales-Manager-73a7c0c2aad26192?fccid=6cedaf70f7631925&vjs=3",True
21,General Manager,Daydream Apartments,Los Angeles,"$125,000 - $150,000 a year","Analyze operational information for impact on NOI, identify trends and recommend appropriate strategies and adjustments.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=9439b4491bf3c5a3&fccid=10badb8b185ffba4&vjs=3",True
97,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
94,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
91,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
90,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
32,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
33,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
37,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
40,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
42,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
45,Operations Manager,Insight Global,Los Angeles,"$120,000 - $145,000 a year","This operations manager must be able to utilize PowerPoint to create presentations to upper management.
5+ years in operations management.","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3Qfp7y0IX4HxvUgtEauwIbBRlLSDmh3bchx_3HUI_7DkEEpdssbsrF9JUqdsFNDknoY3FrDqfFftbMKzXQ3wSimDElH6oDddHQ1MKUuv31M0RhPM34noskJCoxWwr3o1cT_xTksKGTf_xTDQnjPkuE-k4aeaXbFcia_u6G6VcNFHPCRqMBFLgUCf64dj75BA-RGshLz32zggsvBxfz87_JaRtGgMRq3WzfJ28VoCosKVLhlHhwXxvOkFPv0JbK4TfixTmOg9t9IMIXbUhFeQ_W59myf2FrQ6eS54-wx_JcXib57zqo_0MQecwvYcQbLxI08REb7UpV7xRMMkFbNos_jceL_JRZWY-R59JDiB001Az9Qk2ygEokScD_oc_Nmp7xz5kWEhUtJgSJ23d3i3y0eNivaRQBLJKhGWq6Ss0s8c=&p=5&fvj=1&vjs=3",True
46,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
47,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
48,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
51,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
54,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
57,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
59,Operations Manager,Insight Global,Los Angeles,"$120,000 - $145,000 a year","This operations manager must be able to utilize PowerPoint to create presentations to upper management.
5+ years in operations management.","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3Qfp7y0IX4HxvUgtEauwIbBRlLSDmh3bchx_3HUI_7DkEEpdssbsrF9JUqdsFNDknoY3FrDqfFftbMKzXQ3wSimDElH6oDddHQ1MKUuv31M0RhPM34noskJCoxWwr3o1cNPMbYLwA9Nb0NZ92e3KQjrY31g_N6Dd7-1OPi7Eix6jg1AVrUrWpltjt4W0--VPivtMyaAs6Fj6oyQGPa1oO6po_UnfBlrk2VQUvylMMl6iy37-S6Cym1nZf71FgFXKhe6dYyw8byFyKGdU193UEi3ZiekevWIUTAYcvPT1e1GAGUiKE43E_oc5sA3C8y9rUFGVvFVvnqzfIP9QCg35Oc-1iXrKlzFpc4wlpOg-jGO5TUHajT-zNyuyFnSjn_22bte30dnl_KuA71oZ4nA5TR11fa4AoahKIjwqLps1i1WM=&p=4&fvj=1&vjs=3",True
60,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
61,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5sb89z9pI2yEBaSfvGvtdrWPWlAiTOIMpDNFdYf-W1qshGO6oyJDnSDsfjm_TKChmqEanm_hR1B4DuuX4ubkz3AthdCaph_Pr_c4JykKONpEyO66uaqXguo4YOC2No7bHJpI4EHN8zdxbcurgg6Kowq9f1laDpMlGMc5q2taOvAhtiXy1Wm3fokVPgiCoHwM3hKYub9ivOHu4iTRMbssdz4Xo1bHiJIDOA70RB9cvXc8BiVP8zER05a_TxqAogL7t7KQFoDjFOEldGt4hf7m9jT1MRSw4v8i3uZemGKPDlZDujIxSuBgLRSyh-Plz-IeV&p=6&fvj=1&vjs=3",True
62,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
66,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=40/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
