,job_title,company,location,salary,summary,url,easily_apply?
15,Operations Manager,Insight Global,Los Angeles,"$120,000 - $145,000 a year","This operations manager must be able to utilize PowerPoint to create presentations to upper management.
5+ years in operations management.","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCi52Bcb3JNt3Qfp7y0IX4HxvUgtEauwIbBRlLSDmh3bchx_3HUI_7DkEEpdssbsrF9JUqdsFNDknoY3FrDqfFftbMKzXQ3wSimDElH6oDddHQ1MKUuv31M0RhPM34noskJCoxWwr3o1cOAw_JVscfuvZYES1fDFfEs2aS2M6Zefg6gOBjuWUeno3b9sXxyxQ_nq6BlbvSkfd6aV7Kn1aH15aBjhal8RUGCLYHP7U5e5Z43WjT81dnorz3cIRuT4qfMhvVC1iOFN0oOCueOaRf92Fnhr2SrqWRIw9NlQWNPqdx0DdCE1IgATSeQnv-8fMsco6jaU-y733yG_461XIww_w-ZaUHBf00yiHi4tCx3OeXXgCDdnS9g9rJ8dLdKyFNQR5wabfk6FNCS17rZlJyl3UG4JiyYHFlxYNXB1yGNQMT7QNFsbzxdQ=&p=0&fvj=1&vjs=3",True
16,Product Operations Manager,"Verifi, Inc.",Los Angeles,N/A,"Supporting product managers on the team, as they will be your direct customers.
5+ years of product manager experience, including at least 3 years in a Product…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=7d553b363692638a&fccid=9c9541ff470c5626&vjs=3",True
22,"Project Manager - Global Operations, N.America",Railsbank,Los Angeles,N/A,An experienced project manager with at least 10 years of work experience and at least 3 years working as a project manager.,"https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=2ea14b9a926e5d32&fccid=c575675b09f7d136&vjs=3",True
23,Manager Supply Chain Operations,Ingersoll Rand,Los Angeles,N/A,Leads initiative to ensure continuity of supply throughout the operation to achieve uninterrupted supply of quality components and assemblies.,"https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=906a45c78f8602fd&fccid=2e3453ae2db0c66d&vjs=3",True
24,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
24,Implementation Project Manager,TigerConnect,Los Angeles,N/A,The TigerConnect team is seeking a well-organized project manager with strong communication skills and experience implementing and supporting mobile and web…,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=d1b94d5d32b9f0cc&fccid=7fa25566e26b9d43&vjs=3",True
70,Data Governance Project Manager Contractor,KPMG,Los Angeles,N/A,"Knowledge in project management, stakeholder and team communication, budgeting and program measurement and reporting.
Ability to travel up to 25%.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=60/company/KPMG/jobs/Data-Governance-Project-Manager-Contractor-e27d2aebcae2e6d3?fccid=2dd390c3a48a7ed0&vjs=3",True
56,Data Compliance Manager,"Happiest Baby, Inc.",Los Angeles,N/A,"Experience working cross-functionally and managing complex programs.
Experience developing internal policies and procedures, communications and training…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=50/rc/clk?jk=5f8313a4f81ec734&fccid=3e2707371b17a60a&vjs=3",True
83,Program Manager - Electrical Low Voltage,Canoo,Los Angeles,N/A,"The Program Manager will effectively organize and drive programs and activities to support meeting company milestones.
Monitor budgetary and CAPX spend.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=8cabfa14735c6135&fccid=7bcd0803774ad140&vjs=3",True
14,2021-3232 - Project Development Manager,"Vanir Construction Management, Inc.",Los Angeles,N/A,"Reports on project budget, schedule and issues.
Assists project team staff with A/E contracts, bid and contract planning.","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=4db25058ede131cd&fccid=0cf385a4d66ae129&vjs=3",False
135,"Product Manager, Lens Consumption",Snapchat,Los Angeles,N/A,"Develop and prioritize strategies, product initiatives, and features to help evolve the way people understand and access AR, helping incubate and ultimately…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=3e34e8347b28871a&fccid=f368300325e8e8bc&vjs=3",False
25,Project Manager - SCS,AltaMed Health Services Corporation,Los Angeles,N/A,"Under the direction and oversight of the Vice President of Senior Care Operations, this position is responsible for planning, managing, and implementing the…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=6d37f9d39e516626&fccid=33ff2b72cdb0fdd3&vjs=3",False
136,"Sales Manager, Gaming",Samsung Electronics,Los Angeles,N/A,Act as an internal champion for proposed Smart TV & Mobile advertising strategy across other key Samsung stakeholders.,"https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=c58a4312635c1098&fccid=da3c7fed78dd1607&vjs=3",False
137,Senior Product Marketing Manager,WalkMe,Los Angeles,N/A,"Customer Onboarding: Lead strategy to help customers achieve initial success through personalized, integrated, data-driven experiences.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=73b4cce60c445ae7&fccid=3d4b96235681d280&vjs=3",False
138,Fraud Consulting Manager,Accenture,Los Angeles,N/A,"Creating an enterprise fraud strategy or designing a fraud transformation program.
Assessing/designing fraud controls, including decision strategies and manual…","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=671b61fbbb679740&fccid=a4e4e2eaf26690c9&vjs=3",False
39,Director of Project Management,"FanDragon Technologies, Inc",Los Angeles,"$110,000 a year","Reportingto the Chief of Staff to the CEO, this person will help the Product andMarketing groups design, prioritize, and implement projects to scale thebusiness…","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=9cda2669bd781194&fccid=6ef7fb01774d3dac&vjs=3",False
32,Project Manager,"Grifols Shared Services North America, Inc",Los Angeles,N/A,"Notification to their direct level manager with any project risks that may affect timelines, cost, resources, etc.
Prepare ad hoc reports as needed.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=1c6952e0dc10c689&fccid=48963978859d9706&vjs=3",False
38,Market Research Senior Project Manager,Dynata,Los Angeles,N/A,The role of a Project Manager is to effectively deliver market research projects in a way that consistently results in the highest level of customer…,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=58b99432ceee5ee7&fccid=5362a19c14400543&vjs=3",False
13,2021-3236 - Project Manager I,"Vanir Construction Management, Inc.",Los Angeles,N/A,Tracks all project status and provides management reports relative to overall program relative to construction project delivery schedules.,"https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=10/rc/clk?jk=79c13838ff7540c8&fccid=0cf385a4d66ae129&vjs=3",False
33,Product Design Engineering Program Manager,Snapchat,Los Angeles,N/A,3+ years of combined experience in program management and mechanical/electrical engineering for complex consumer electronics products.,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=30/rc/clk?jk=ccf32a039be54235&fccid=f368300325e8e8bc&vjs=3",False
142,Key Account Manager – Medical - WEST,Leica Microsystems,Los Angeles,N/A,"Thoroughly understands the purchasing drivers/behaviors for both technical and non-technical strategies.
The KAM will report to the Regional Sales Manager.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=f516738991bb1498&fccid=b9ddc78712370b9e&vjs=3",False
10,Project Manager,Cumming Corporation,Los Angeles,N/A,"Document the status of the project, all meetings and correspondence as a means to properly communicate within the project team and develop the project documents…","https://www.indeed.com/jobs?q=Project+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/rc/clk?jk=00b1edfa70926371&fccid=4904e328c1fa7698&vjs=3",False
28,Product Design Engineering Program Manager,Snapchat,Los Angeles,N/A,3+ years of combined experience in program management and mechanical/electrical engineering for complex consumer electronics products.,"https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=ccf32a039be54235&fccid=f368300325e8e8bc&vjs=3",False
144,"Manager, Product Insights (Kids & Family) - HBO Max",HBO Max,Los Angeles,N/A,"Perform ad hoc analysis and build compelling presentations and propose data-driven decisions to shape retention strategies.
3+ years of experience using SQL.","https://www.indeed.com/jobs?q=Strategy+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=3815e53831f7a65e&fccid=a710372f724c1e2e&vjs=3",False
